Año,Mes,Municipio,Departamento,Presunto Responsable,Total de Víctimas del Caso,Latitud,Longitud
1991,08,BUENAVISTA,CORDOBA,GUERRILLA,1,8.191397953,-75.43382532
1991,09,PITALITO,HUILA,GUERRILLA,1,1.848217185,-76.05217643
1991,09,ARGELIA,CAUCA,GUERRILLA,1,2.329337283,-77.26314906
1991,09,ARGELIA,CAUCA,GUERRILLA,1,2.329337283,-77.26314906
1991,09,ARGELIA,CAUCA,GUERRILLA,1,2.329337283,-77.26314906
1991,09,ARGELIA,CAUCA,GUERRILLA,1,2.329337283,-77.26314906
1991,09,ARGELIA,CAUCA,GUERRILLA,1,2.329337283,-77.26314906
1991,09,ARGELIA,CAUCA,GUERRILLA,1,2.329337283,-77.26314906
1991,09,ARGELIA,CAUCA,GUERRILLA,1,2.329337283,-77.26314906
1991,09,ARGELIA,CAUCA,GUERRILLA,1,2.329337283,-77.26314906
1991,09,ARGELIA,CAUCA,GUERRILLA,1,2.329337283,-77.26314906
1991,09,CUCUTA,NORTE DE SANTANDER,GUERRILLA,1,8.112041811,-72.48862641
1991,09,CUCUTA,NORTE DE SANTANDER,GUERRILLA,1,8.112041811,-72.48862641
1991,09,CUCUTA,NORTE DE SANTANDER,GUERRILLA,1,8.112041811,-72.48862641
1991,10,SAN MARTIN,CESAR,GUERRILLA,1,7.937788454,-73.54436312
1991,10,OCAÑA,NORTE DE SANTANDER,GUERRILLA,1,8.206637527,-73.33765033
1991,11,CUCUTA,NORTE DE SANTANDER,GUERRILLA,1,8.112041811,-72.48862641
1991,11,RIOHACHA,LA GUAJIRA,GUERRILLA,1,11.24297214,-72.95876315
1991,11,FUNDACION,MAGDALENA,GUERRILLA,1,10.45937818,-73.88406518
1991,11,CIENAGA,MAGDALENA,GUERRILLA,1,10.85754552,-74.02500493
1991,11,TIBU,NORTE DE SANTANDER,GUERRILLA,1,8.713507237,-72.79925855
1991,12,EL ZULIA,NORTE DE SANTANDER,GUERRILLA,1,8.081200092,-72.63152118
1991,12,BELEN DE UMBRIA,RISARALDA,GUERRILLA,1,5.200398696,-75.86793893
1991,12,SAN JACINTO,BOLIVAR,GUERRILLA,1,9.835362011,-75.10609201
1991,12,PUERTO WILCHES,SANTANDER,GUERRILLA,1,7.398198257,-73.8354696
1981,01,PUERTO RICO,CAQUETA,GUERRILLA,2,2.018940891,-75.07308627
1982,10,SANTIAGO DE CALI,VALLE DEL CAUCA,GUERRILLA,1,3.399043723,-76.57649259
1985,11,URRAO,ANTIOQUIA,GUERRILLA,5,6.317343,-76.133951
1986,04,ARMERO,TOLIMA,GUERRILLA,1,5.030744,-74.884438
2001,07,JAMUNDI,VALLE DEL CAUCA,GRUPO ARMADO NO IDENTIFICADO,1,3.260449,-76.539785
1995,12,RIOFRIO,VALLE DEL CAUCA,GUERRILLA,2,4.156908,-76.288313
2015,01,TELLO,HUILA,GRUPO POSDESMOVILIZACIÓN,1,3.030611777,-75.08536553
2015,01,VILLAVICENCIO,META,GRUPO POSDESMOVILIZACIÓN,1,4.09166877,-73.49291595
